experiment,station,dist_km,Feature_Set,Model,fold,CV_AUC
main,phuket,26,F1,Climatological,0,0.5226
main,phuket,26,F1,Climatological,1,0.5855
main,phuket,26,F1,Climatological,2,0.5859
main,phuket,26,F1,Climatological,3,0.4882
main,phuket,26,F1,Climatological,4,0.5972
main,phuket,26,F1,LR,0,0.7568
main,phuket,26,F1,LR,1,0.7678
main,phuket,26,F1,LR,2,0.7952
main,phuket,26,F1,LR,3,0.7428
main,phuket,26,F1,LR,4,0.7529
main,phuket,26,F1,SVM,0,0.6746
main,phuket,26,F1,SVM,1,0.7031
main,phuket,26,F1,SVM,2,0.7509
main,phuket,26,F1,SVM,3,0.7145
main,phuket,26,F1,SVM,4,0.7015
main,phuket,26,F1,RF,0,0.7212
main,phuket,26,F1,RF,1,0.715
main,phuket,26,F1,RF,2,0.7339
main,phuket,26,F1,RF,3,0.7047
main,phuket,26,F1,RF,4,0.7351
main,phuket,26,F1,XGB,0,0.7173
main,phuket,26,F1,XGB,1,0.6987
main,phuket,26,F1,XGB,2,0.7172
main,phuket,26,F1,XGB,3,0.7073
main,phuket,26,F1,XGB,4,0.7312
main,phuket,26,F1,MLP,0,0.712
main,phuket,26,F1,MLP,1,0.7267
main,phuket,26,F1,MLP,2,0.7674
main,phuket,26,F1,MLP,3,0.7416
main,phuket,26,F1,MLP,4,0.7264
main,phuket,26,F2,Climatological,0,0.5226
main,phuket,26,F2,Climatological,1,0.5855
main,phuket,26,F2,Climatological,2,0.5859
main,phuket,26,F2,Climatological,3,0.4882
main,phuket,26,F2,Climatological,4,0.5972
main,phuket,26,F2,LR,0,0.7726
main,phuket,26,F2,LR,1,0.75
main,phuket,26,F2,LR,2,0.7949
main,phuket,26,F2,LR,3,0.7652
main,phuket,26,F2,LR,4,0.7599
main,phuket,26,F2,SVM,0,0.6756
main,phuket,26,F2,SVM,1,0.6684
main,phuket,26,F2,SVM,2,0.7695
main,phuket,26,F2,SVM,3,0.7667
main,phuket,26,F2,SVM,4,0.7015
main,phuket,26,F2,RF,0,0.7171
main,phuket,26,F2,RF,1,0.7289
main,phuket,26,F2,RF,2,0.7413
main,phuket,26,F2,RF,3,0.7307
main,phuket,26,F2,RF,4,0.7519
main,phuket,26,F2,XGB,0,0.7188
main,phuket,26,F2,XGB,1,0.7194
main,phuket,26,F2,XGB,2,0.7051
main,phuket,26,F2,XGB,3,0.6986
main,phuket,26,F2,XGB,4,0.702
main,phuket,26,F2,MLP,0,0.5814
main,phuket,26,F2,MLP,1,0.7311
main,phuket,26,F2,MLP,2,0.7285
main,phuket,26,F2,MLP,3,0.805
main,phuket,26,F2,MLP,4,0.7264
main,phuket,26,F3,Climatological,0,0.5226
main,phuket,26,F3,Climatological,1,0.5855
main,phuket,26,F3,Climatological,2,0.5859
main,phuket,26,F3,Climatological,3,0.4882
main,phuket,26,F3,Climatological,4,0.5972
main,phuket,26,F3,LR,0,0.7516
main,phuket,26,F3,LR,1,0.7727
main,phuket,26,F3,LR,2,0.7834
main,phuket,26,F3,LR,3,0.7508
main,phuket,26,F3,LR,4,0.7442
main,phuket,26,F3,SVM,0,0.6815
main,phuket,26,F3,SVM,1,0.6664
main,phuket,26,F3,SVM,2,0.7577
main,phuket,26,F3,SVM,3,0.743
main,phuket,26,F3,SVM,4,0.6797
main,phuket,26,F3,RF,0,0.7466
main,phuket,26,F3,RF,1,0.7257
main,phuket,26,F3,RF,2,0.7562
main,phuket,26,F3,RF,3,0.7179
main,phuket,26,F3,RF,4,0.7207
main,phuket,26,F3,XGB,0,0.7204
main,phuket,26,F3,XGB,1,0.7188
main,phuket,26,F3,XGB,2,0.7317
main,phuket,26,F3,XGB,3,0.687
main,phuket,26,F3,XGB,4,0.6911
main,phuket,26,F3,MLP,0,0.732
main,phuket,26,F3,MLP,1,0.7287
main,phuket,26,F3,MLP,2,0.7594
main,phuket,26,F3,MLP,3,0.7109
main,phuket,26,F3,MLP,4,0.695
main,phuket,26,F4,Climatological,0,0.5226
main,phuket,26,F4,Climatological,1,0.5855
main,phuket,26,F4,Climatological,2,0.5859
main,phuket,26,F4,Climatological,3,0.4882
main,phuket,26,F4,Climatological,4,0.5972
main,phuket,26,F4,LR,0,0.7677
main,phuket,26,F4,LR,1,0.7517
main,phuket,26,F4,LR,2,0.7875
main,phuket,26,F4,LR,3,0.764
main,phuket,26,F4,LR,4,0.7556
main,phuket,26,F4,SVM,0,0.6859
