station,Model,Feature_Set,hold_year,LOYO_AUC
phuket,LR,F1,2011,0.7013
phuket,RF,F3,2011,0.6461
phuket,XGB,F3,2011,0.6169
phuket,LR,F1,2012,0.7568
phuket,RF,F3,2012,0.7466
phuket,XGB,F3,2012,0.7204
phuket,LR,F1,2013,0.8897
phuket,RF,F3,2013,0.7721
phuket,XGB,F3,2013,0.8309
phuket,LR,F1,2014,0.7678
phuket,RF,F3,2014,0.7257
phuket,XGB,F3,2014,0.7188
phuket,LR,F1,2015,0.7442
phuket,RF,F3,2015,0.7567
phuket,XGB,F3,2015,0.65
phuket,LR,F1,2016,0.9167
phuket,RF,F3,2016,0.75
phuket,XGB,F3,2016,0.8333
phuket,LR,F1,2018,0.7373
phuket,RF,F3,2018,0.7015
phuket,XGB,F3,2018,0.6868
phuket,LR,F1,2019,0.7952
phuket,RF,F3,2019,0.7562
phuket,XGB,F3,2019,0.7317
krabi,LR,F1,2011,0.8015
krabi,RF,F3,2011,0.7059
krabi,XGB,F3,2011,0.7132
krabi,LR,F1,2012,0.8023
krabi,RF,F3,2012,0.791
krabi,XGB,F3,2012,0.7889
krabi,LR,F1,2013,0.886
krabi,RF,F3,2013,0.7719
krabi,XGB,F3,2013,0.6053
krabi,LR,F1,2014,0.7682
krabi,RF,F3,2014,0.71
krabi,XGB,F3,2014,0.7189
krabi,LR,F1,2015,0.7448
krabi,RF,F3,2015,0.7524
krabi,XGB,F3,2015,0.7032
krabi,LR,F1,2016,0.9524
krabi,RF,F3,2016,0.8095
krabi,XGB,F3,2016,0.8095
krabi,LR,F1,2018,0.7656
krabi,RF,F3,2018,0.7
krabi,XGB,F3,2018,0.6892
krabi,LR,F1,2019,0.7652
krabi,RF,F3,2019,0.7468
krabi,XGB,F3,2019,0.7539
phangnga,LR,F1,2011,0.6818
phangnga,RF,F3,2011,0.6623
phangnga,XGB,F3,2011,0.6753
phangnga,LR,F1,2012,0.7898
phangnga,RF,F3,2012,0.7662
phangnga,XGB,F3,2012,0.7416
phangnga,LR,F1,2013,0.78
phangnga,RF,F3,2013,0.6
phangnga,XGB,F3,2013,0.7
phangnga,LR,F1,2014,0.7716
phangnga,RF,F3,2014,0.7297
phangnga,XGB,F3,2014,0.7012
phangnga,LR,F1,2015,0.786
phangnga,RF,F3,2015,0.7784
phangnga,XGB,F3,2015,0.733
phangnga,LR,F1,2016,0.8333
phangnga,RF,F3,2016,0.75
phangnga,XGB,F3,2016,0.875
phangnga,LR,F1,2018,0.8414
phangnga,RF,F3,2018,0.8051
phangnga,XGB,F3,2018,0.7788
phangnga,LR,F1,2019,0.7651
phangnga,RF,F3,2019,0.7614
phangnga,XGB,F3,2019,0.7424
